author,publications
Pasino M,9
Santoro C,32
Lanza T,8
Molinari AC,27
Bottini F,9
Bicocchi MP,14
Rivard GE,49
St Louis J,3
Lacroix S,4
Champagne M,1
Rock G,28
Zhang L,45
Li H,28
Zhao H,10
Zhang X,35
Ji L,3
Yang R,35
Takemura T,5
Hojo H,3
Nakahara Y,5
Ishimizu T,3
Hase S,10
Edel M,1
Robbins P,1
D'Antuono M,1
Harvey J,1
Papadimitrion J,1
Mitchell C,2
Dawkins H,1
Weitz JI,9
Crowther MA,4
Brooks MB,16
Gu W,4
Barnas JL,2
Ray J,4
Ray K,11
Manco-Johnson MJ,46
Riske B,9
Kasper CK,63
Fraiman G,1
Ganti AK,2
Potti A,1
Mehdi S,1
Miyakoshi M,1
Kamoi K,2
Uchida S,2
Sasaki S,2
Goldman RD,1
Blanchette V,40
Koren G,2
Yoshioka A,114
Fukutake K,36
Takamatsu J,36
Shirahata A,18
Kat PS,1
Sampson WJ,1
Wilson DF,1
Wiebkin OW,1
Saxena R,21
Kannan M,7
Choudhry VP,11
Follenzi A,22
Battaglia M,1
Lombardo A,4
Annoni A,5
Roncarolo MG,4
Naldini L,13
Poláková H,2
Zmetáková I,1
Kádasi L,2
Shmeleva VM,1
Kapustin SI,1
Papayan LP,1
Sobczyńska-Malefora A,1
Harrington DJ,1
Savidge GF,25
Caksen H,3
Odabaş D,1
Akbayram S,2
Faik Oner A,1
Arslan S,2
Cesur Y,1
Uner A,2
Chang YJ,4
Wu HL,4
Hsu YC,6
Hamaguchi N,14
Shi GY,3
Shen MC,23
Lin SW,29
Manno CS,12
Roguin A,1
Nitecki S,1
Rubinstein I,1
Nevo E,1
Avivi A,1
Levy NS,1
Abassi ZA,1
Sabo E,3
Lache O,1
Frank M,1
Hoffman A,2
Levy AP,1
Pacicca DM,1
Patel N,5
Lee C,9
Salisbury K,1
Lehmann W,1
Carvalho R,1
Gerstenfeld LC,2
Einhorn TA,2
Sorrentino R,2
Vitiello R,1
Castelli ML,1
Kim NR,1
Ko YH,1
Sung CO,1
Sadeghi S,1
Marder VJ,10
Stewart D,2
Kong M,3
Humphries J,2
Baumbach GA,2
Jesmok G,4
Anagnostopoulos T,3
Morris AP,1
Ayres KL,2
Giannelli F,53
Green PM,39
Ling M,3
Duncan EM,11
Rodgers SE,11
Street AM,7
Lloyd JV,18
Marietta M,5
Facchinetti F,1
Sgarbi L,1
Simoni L,2
Bertesi M,2
Torelli G,3
Volpe A,2
Wilcox DA,10
Shi Q,50
Nurden P,3
Haberichter SL,8
Rosenberg JB,4
Johnson BD,3
Nurden AT,4
White GC 2nd,31
Montgomery RR,50
Gigarel N,1
Frydman N,1
Burlet P,1
Kerbrat V,1
Steffann J,1
Frydman R,1
Munnich A,3
Ray PF,1
Marques MB,2
Fritsma GA,1
Long JA,1
Adler BK,1
Gilles JG,19
Grailly SC,2
De Maeyer M,2
Jacquemin MG,9
VanderElst LP,1
Saint-Remy JM,55
Tian Y,3
Zhu LL,1
Guo RX,2
Fan CF,1
Glueck CJ,28
Wang P,47
Bornovali S,1
Goldenberg N,13
Sieve L,4
Wendling D,1
Bertrand MA,4
Taher A,4
Abiad R,1
Uthman I,2
Pastores SM,1
Papadopoulos E,1
Voigt L,1
Halpern NA,1
Bovenzi F,1
De Luca L,1
Signore N,1
Fusco F,2
de Luca I,1
Santeusanio G,1
Bombonati A,1
Tarantino U,1
Craboledda P,1
Marino B,1
Birbe R,1
Ortenzi A,1
Villaschi S,4
Bhopale GM,1
Nanda RK,1
van der Neut Kolfschoten M,1
Dirven RJ,1
Vos HL,9
Tans G,14
Rosing J,26
Doering CB,46
Healey JF,38
Parker ET,40
Barrow RT,18
Lollar P,88
Lin PJ,3
Straight DL,12
Stafford DW,72
Totsugawa T,3
Kobayashi N,7
Maruyama M,2
Kosaka Y,2
Okitsu T,3
Arata T,1
Sakaguchi M,4
Ueda T,3
Kurabayashi Y,1
Tanaka N,4
Berber E,6
Kavaklı K,8
Akar N,12
Çağlayan SH,2
Linn T,1
Erb D,1
Schneider D,2
Kidszun A,1
Elçin AE,1
Bretzel RG,1
Elçin YM,1
Chapman-Sheath PJ,1
Giangrande P,23
Carr AJ,1
Hazewinkel MH,1
Hoogerwerf JJ,1
Hesseling PB,1
Hartley P,1
MacLean PE,2
Peters M,44
Wessels G,1
Hubbard AR,15
Sands D,5
Sandberg E,1
Seitz R,14
Barrowcliffe TW,46
Wannamethee SG,11
Shaper G,1
Whincup PH,9
Walker M,3
Lennon L,4
Gharagozlou S,5
Ghods R,1
Bahrami ZS,1
Roohi A,1
Jeddi-Tehrani M,1
Conti-Fine BM,12
Sharifian RA,5
Rabbani H,2
Shokri F,5
Gau JP,7
Hsu HC,8
Ho CH,9
Chau WK,5
Chen CC,6
You JY,2
Xu H,13
Edwards J,2
Banerji S,1
Prevo R,2
Jackson DG,2
Athanasou NA,1
Purohit VS,8
Ramani K,6
Kashi RS,4
Durrani MJ,1
Kreiger TJ,1
Balasubramanian SV,6
Tsutsui S,1
Kume M,2
Era S,1
Falke G,1
Yoo JJ,1
Kwon TG,1
Moreland R,1
Atala A,6
Tomokiyo K,4
Nakatomi Y,3
Araki T,4
Teshima K,2
Nakano H,4
Nakagaki T,8
Miyamoto S,7
Funatsu A,7
Iwanaga S,27
Koc A,2
Gumruk F,7
Gurgey A,7
Váradi K,12
Negrier C,59
Berntorp E,157
Astermark J,91
Bordet JC,9
Morfini M,114
Linari S,20
Schwarz HP,36
Turecek PL,47
Cunningham MA,4
Pipe SW,64
Zhang B,26
Hauri HP,5
Ginsburg D,28
Kaufman RJ,77
Ahmad SS,21
London FS,7
Walsh PN,53
Cinotti S,12
Bellatreccia A,1
Paladino E,6
Gringeri A,71
Salvesen HB,4
Gulluoglu MG,1
Stefansson I,2
Akslen LA,12
Pomper GJ,1
Rick ME,26
Epstein JS,4
Read EJ,1
Leitman SF,1
Freedman J,7
Rand ML,6
Russell O,1
Davis C,1
Cheatley PL,1
Garvey MB,10
Santagostino E,163
Berardinelli L,1
Beretta C,1
Muça-Perja M,3
Schatz S,1
Fiedler C,3
Zimmermann K,5
Gritsch H,12
Voorberg J,58
Dorner F,14
Scheiflinger F,36
Audouin J,2
Comperat E,1
Le Tourneau A,1
Camilleri-Broët S,1
Adida C,1
Molina T,1
Diebold J,2
Uggla B,1
Linder O,1
Schulman S,34
Lutz SM,1
Vincent BJ,1
Kazazian HH Jr,46
Batzer MA,1
Moran JV,1
Fiala KA,2
Hoffmann SJ,2
Ritenour DM,2
Li X,35
Feng GS,1
Zheng CS,1
Zhuo CK,1
Liu X,31
Kitami A,1
Suzuki T,25
Suzuki S,15
Hirota Y,1
Grima C,1
Koide N,9
Nishio A,7
Kono T,3
Hiraguri M,4
Watanabe H,7
Igarashi J,3
Hanazaki K,5
Adachi W,8
Amano J,9
Patel RK,4
Ford E,2
Thumpston J,1
Arya R,5
Wells PS,4
Rodger MA,3
Forgie MA,1
Langlois NJ,2
Armstrong L,1
Carson NL,1
Jaffey J,2
Misra N,6
Bayry J,26
Pashov A,5
Kaveri SV,59
D'Oiron R,13
Stieltjes N,18
Roussel-Robert V,10
Kazatchkine MD,28
Boyer O,3
Lacroix-Desmazes S,77
Siegemund T,4
Petros S,4
Siegemund A,6
Scholz U,12
Engelmann L,3
Gesundheit B,1
Klement G,1
Senger C,1
Kerbel R,1
Kieran M,1
Baruchel S,1
Becker L,1
Katsinelos P,1
Pilpilidis I,1
Paroutoglou G,1
Tsolkas P,1
Galanis I,1
Giouleme O,1
Soufleris K,1
Vradelis S,1
Eugenidis N,1
Harper P,1
Brasser M,2
Moore L,1
Teague L,3
Pitcher L,1
Ockelford P,4
Löser P,2
Hofmann C,2
Both GW,1
Uckert W,1
Hillgenberg M,2
Gerlach R,2
Yahya H,1
Rohde S,1
Böhm M,1
Berkefeld J,2
Scharrer I,42
Seifert V,2
Raabe A,2
Szeifert GT,3
Salmon I,2
Balèriaux D,1
Brotchi J,2
Levivier M,2
Park F,4
Kuroiwa M,1
Takeuchi T,4
Lee JH,12
Yoshizawa J,1
Hirato J,2
Kaneko S,3
Choi SH,3
Suzuki N,15
Ikeda H,6
Tsuchida Y,1
Futrakul N,1
Kittikowit W,1
Yenrudi S,1
Shan YS,1
Lee JC,2
Chow NH,2
Yang HB,1
Wang ST,1
Goldammer T,1
Amaral ME,1
Brunner RM,1
Owens E,1
Kata SR,1
Schwerin M,1
Womack JE,1
Thomas A,5
Stirling D,4
Kerr R,2
Dejgaard A,1
Collins PW,62
Goodeve A,20
Herder C,3
Tonn T,9
Oostendorp R,1
Becker S,8
Keller U,1
Peschel C,2
Grez M,4
Seifried E,27
Sarkar R,22
Tetreault R,2
Gao G,7
Wang L,45
Bell P,5
Chandler R,1
Wilson JM,17
Izaguirre G,4
Zhang W,16
Swanson R,4
Bedsted T,3
Olson ST,10
Mikkelsen JG,2
Yant SR,5
Meuse L,12
Huang Z,6
Kay MA,44
Duzhak T,1
Emerson MR,1
Chakrabarty A,1
Alterman MA,1
LeVine SM,1
Ruggeri B,1
Singh J,2
Gingrich D,1
Angeles T,1
Albom M,1
Yang S,5
Chang H,5
Robinson C,1
Hunter K,1
Dobrzanski P,1
Jones-Bolin S,1
Pritchard S,1
Aimone L,1
Klein-Szanto A,2
Herbert JM,5
Bono F,2
Schaeffer P,1
Casellas P,1
Bourie B,1
Pili R,1
Isaacs J,2
Ator M,1
Hudkins R,1
Vaught J,1
Mallamo J,1
Dionne C,1
Murakami MT,1
Zela SP,1
Gava LM,1
Michelan-Duarte S,1
Cintra AC,1
Arni RK,2
van Hylckama Vlieg A,16
Rosendaal FR,104
Lisman T,19
de Groot PG,20
Lambert T,36
Røjkjaer R,2
Persson E,23
Hu GL,2
Okita DK,11
Diethelm-Okita BM,8
Evans PA,1
Heptinstall S,1
Crowhurst EC,1
Davies T,2
Glenn JR,1
Madira W,1
Davidson SJ,3
Burman JF,3
Hoskinson J,1
Stray CM,1
Lavigne G,3
Mercier E,1
Queré I,1
Dauzat M,1
Gris JC,6
Recto MR,1
Sobczyk W,1
Hadley T,3
Yeh T Jr,1
Sánchez-Luceros A,2
Meschengieser SS,4
Marchese C,1
Votta R,1
Casais P,2
Woods AI,4
Nadal MV,1
Salviú MJ,3
Lazzari MA,8
Gerotziafas GT,3
Elalamy I,2
Depasse F,3
Chakroun T,1
Bara L,2
Arzoglou P,1
Samama MM,4
te Velde EA,1
Kusters B,1
Maass C,1
de Waal R,1
Borel Rinkes IH,1
Antovic JP,12
Antovic A,12
Folsom AR,52
Chambless LE,12
Duncan BB,6
Gilbert AC,1
Pankow JS,7
Brown BD,4
Shi CX,3
Powell S,8
Hurlbut D,1
Graham FL,3
Lillicrap D,122
Klukowska A,25
Łaguna P,3
Obitko-Płudowska A,1
Niedzielska K,1
Malinowska I,1
Rokicka-Milewska R,4
Biss T,6
Crossman L,1
Neilly I,1
Hanley J,4
Tizzano EF,12
Cornet M,7
Domènech M,4
Baiget M,12
Carcao MD,11
Connolly BL,1
Chait P,2
Stain AM,14
Acebes M,1
Massicotte P,3
Blanchette VS,50
Antunes SV,6
Vicari P,1
Cavalheiro S,1
Bordin JO,1
Lenk H,11
DiMichele D,10
Shapiro A,40
Tjönnfjord G,1
Butler RB,4
McClure W,1
Wulff K,11
O'Donnell J,13
Manning RA,10
Laffan MA,13
Giangrande PL,22
Xu B,2
Broome U,1
Uzunel M,1
Nava S,1
Ge X,1
Kumagai-Braesch M,1
Hultenby K,1
Christensson B,1
Ericzon BG,1
Holgersson J,2
Sumitran-Holgersson S,1
Pivalizza EG,2
Soini Y,6
Salo T,2
Satta J,1
Sharrett AR,5
Sorlie P,4
Couper D,3
Szklo M,4
Nieto FJ,4
Miao CH,32
Ye X,11
Thompson AR,77
Sheehan JP,13
Kobbervig CE,1
Kirkpatrick HM,1
Tiede A,57
Eder M,1
von Depka M,9
Battmer K,1
Luther S,1
Kiem HP,1
Ganser A,6
Scherr M,1
Kyrle PA,22
Eichinger S,16
Mansfield SG,3
Clark RH,1
Puttaraju M,2
Kole J,1
Cohn JA,1
Mitchell LG,2
Garcia-Blanco MA,3
Hancox JG,1
Graham GF,1
Yosipovitch G,1
Taniguchi I,1
Murakami G,1
Sato A,1
Fujiwara D,1
Ichikawa H,1
Yajima T,1
Kohama G,1
Schuettrumpf J,6
Nichols TC,59
Robinson N,3
Lotfi Y,1
Mingozzi F,39
Xiao W,19
Couto LB,19
High KA,106
d'Oiron R,21
Lavergne JM,31
Lavend'homme R,13
Benhida A,8
Peerlinck K,51
Vermylen J,34
Jacquemin M,43
Zhang J,33
Xu L,13
Haskins ME,4
Parker Ponder K,1
Tuncbilek N,2
Unlu E,1
Karakas HM,1
Cakir B,1
Ozyilmaz F,1
Unterhauser FN,2
Bail HJ,1
Höher J,1
Haas NP,1
Weiler A,3
Lee SC,1
Na YP,1
Lee JB,1
Matsumura G,3
Miyagawa-Tomita S,2
Shin'oka T,3
Ikada Y,5
Kurosawa H,2
Huang H,4
Norledge BV,1
Liu C,8
Olson AJ,2
Edgington TS,6
Patsouris E,3
Korkolopoulou P,2
Androulaki A,1
Douzinas E,1
Kosmopoulou O,1
Kordossis T,1
Srour MA,2
Fechner H,1
Siemetzki U,1
Albert T,9
Oldenburg J,210
Hanfland P,13
Poller W,4
Brackmann HH,70
Schwaab R,53
Raut S,22
Villard S,7
Grailly S,3
Granier C,13
Bonderman D,2
Jakowitsch J,1
Weltermann A,10
Adlbrecht C,1
Schneider B,9
Kneussl M,1
Rubin LJ,1
Klepetko W,1
Maurer G,1
Lang IM,5
Matsuzaka K,1
Koike Y,1
Yakushiji T,1
Shimono M,1
Inoue T,4
Santos L,3
Costa C,9
Pereira S,2
Koch M,1
Amaro T,1
Cardoso F,1
Guimarães T,1
Bento MJ,1
Lobo F,1
Pinto S,1
Lopes C,3
Yu JS,2
Lee PK,1
Ehtesham M,1
Samoto K,3
Black KL,1
Wheeler CJ,1
Gulbahar MY,1
Yuksel H,1
Aslan L,1
Feige K,2
Ehrat FB,2
Kästner SB,2
Schwarzwald CC,1
Wilasrusmee C,1
Ondocin P,1
Bruch D,1
Shah G,1
Kittur S,1
Wilasrusmee S,1
Kittur DS,1
O'shea SI,1
Lawson JH,4
Reddan D,1
Murphy M,1
Ortel TL,13
Chen ZY,3
He CY,3
Ehrhardt A,12
Dargaud Y,33
Cruchaudet BB,1
Lienhart A,21
Coppéré B,1
Ninet J,2
Négrier C,62
Lewis DA,5
Moore KD,4
Eich S,2
Kusch M,3
Grundmann C,3
Hanker C,1
König H,6
Okuda D,1
Horii K,1
Mizuno H,13
Morita T,35
Solheim BG,3
Flesland O,2
Brosstad F,4
Mollnes TE,5
Seghatchian J,8
Gale AJ,16
Pellequer JL,8
Heath AB,4
Khoury JD,1
Shephard MN,1
Moran CA,5
Jacobson BF,1
Münster M,1
Smith A,6
Burnand KG,1
Carter A,1
Abdool-Carrim AT,1
Marcos E,2
Becker PJ,1
Rogers T,1
le Roux D,1
Calvert-Evers JL,1
Nel MJ,1
Brackin R,1
Veller M,1
Russell KE,2
Olsen EH,3
Raymer RA,7
Merricks EP,24
Bellinger DA,27
Read MS,15
Rup BJ,3
Keith JC Jr,5
McCarthy KP,3
Schaub RG,12
Hoots WK,24
Boeri E,4
Mori PG,10
Rosano C,4
Wells W,1
Malas M,1
Baker CJ,1
Quardt SM,1
Barr ML,1
Teshima H,2
Hayashida N,1
Yano H,4
Nishimi M,1
Tayama E,1
Fukunaga S,1
Akashi H,1
Kawara T,1
Aoyagi S,2
Maitra RN,1
McHaffie DJ,1
Wakefield JS,1
Delahunt B,4
Molinari F,1
Meskanaite V,1
Sonderegger P,1
Colleaux L,1
Dhar P,1
Abramovitz S,1
Gibb CB,1
Gadalla F,1
Glowaski MM,1
Moon-Massat PF,1
Erb HN,2
Barr SC,1
Yang SZ,2
Zhang LM,2
Huang YL,1
Sun FY,1
Houissa B,1
Mliki ML,1
Abdelkafi S,1
Bouslama M,1
Zaïer M,1
Mahjoub T,1
Kortas M,1
Ghachem L,1
Yacoub S,1
Aegerter Ch,1
Fontana S,1
Fux Ch,1
Demarmels Biasiutti F,1
Lowe G,8
Woodward M,5
Morrison C,1
Tunstall-Pedoe H,3
Stephen K,1
Krysiak R,1
Okopień B,1
Herman Z,1
Askar I,1
Kilinc N,1
Yucetas A,1
Yamazaki S,5
Hanna W,3
AL-Maghrabi J,1
Malik A,4
Garwood M,3
Cardigan RA,3
Drummond O,9
Hornsey VS,12
Turner CP,1
Young D,6
Williamson LM,8
Prowse CV,38
Burnouf T,13
Kappelsberger C,1
Frank K,1
Burkhardt T,1
van Zonneveld AJ,6
Reding MT,22
Anderson TA,2
De Visser MC,1
Sandkuijl LA,2
Lensen RP,1
Nishino T,3
Miyazaki M,5
Abe K,2
Furusu A,1
Mishima Y,1
Harada T,2
Ozono Y,1
Koji T,2
Kohno S,2
Eftekhar B,1
Ghodsi M,1
Ketabchi E,1
Bakhtiari A,1
Mostajabi P,1
Schlesinger KW,1
Ragni MV,63
Takaoka K,1
Sakurai K,2
Noguchi K,2
Hashitani S,1
Urade M,1
Zakarija A,4
Green D,54
Limin H,1
Hongchi J,1
Wenjie D,1
Haiquan Q,1
Jun X,1
Scallan CD,5
Liu T,18
Parker AE,2
Patarroyo-White SL,2
Chen H,16
Jiang H,41
Vargas J,2
Nagy D,5
Powell SK,2
Wright JF,16
Kazazian HH,9
McClelland A,12
Ryan MF,1
Murphy JP,1
Jay R,1
Callum J,4
MacDonald D,1
Samel M,3
Vija H,3
Subbi J,3
Siigur J,3
McIntosh J,13
Hoyt DG,1
Kuittinen O,1
Apaja-Sarkkinen M,1
Turpeenniemi-Hujanen T,1
Matsutani T,2
Sakurai Y,26
Yoshioka T,4
Tsuruta Y,1
Suzuki R,1
Shima M,207
Eigenbrot C,3
Meng YG,1
Krishnamurthy R,1
Lipari MT,2
Presta L,1
Devaux B,3
Wong T,2
Moran P,4
Bullens S,4
Kirchhofer D,8
Hasçelik S,1
Yalnizoğlu D,1
Kafali G,1
Celiker A,1
Cila A,1
Topçu M,1
Gürgey A,9
Ganguly A,4
Dunbar T,1
Chen P,3
Godmilow L,2
Ganguly T,2
Ahlén J,2
Weng WW,1
Brosjö O,1
Von Rosen A,1
Larsson O,2
Larsson C,1
Ranieri G,2
Passantino L,1
Patruno R,1
Passantino G,1
Jirillo F,1
Catino A,1
Mattioli V,1
Gadaleta C,1
Ribatti D,15
Chun BH,2
Park SY,5
Chung N,2
Bang WG,1
Yarovoi HV,1
Kufrin D,1
Eslin DE,1
Thornton MA,3
Zhu H,3
Camire R,1
Fakharzadeh SS,3
Kowalska MA,2
Sachais BS,2
Poncz M,13
de Gouveia RH,1
Ramos S,1
Ribeiro MA,1
Ferreira M,1
Martins AP,1
Ahmed R,2
Iyengar S,1
Smith LS,1
Mangoni AA,1
Asonganyi B,1
Sherwood RA,1
Ouldred E,1
Swift CG,1
Jackson SH,1
Gerhardt A,1
Scharf RE,6
Zotz RB,1
Iurlaro M,3
Scatena M,1
Zhu WH,1
Fogel E,1
Wieting SL,1
Nicosia RF,4
Frank SA,1
Treib W,2
Stoll M,4
David D,7
Santos IM,2
Johnson K,4
Tuddenham EG,78
McVey JH,22
Loeb KR,2
Greenwood R,4
Wang B,2
Midkiff K,1
Lin HF,5
Frelinger JA,4
Bialonczyk C,9
Minar E,10
Hirschl M,9
Quehenberger P,26
Schönauer V,7
Plantier JL,14
Enjolras N,16
Rodriguez MH,7
Massé JM,1
Cramer EM,1
Al Dieri R,3
Béguin S,14
Hemker HC,34
Carr ME Jr,8
Carr SL,2
Tildon T,1
Fisher LM,4
Martin EJ,18
Van Hylckama Vlieg A,1
Callas PW,6
Cushman M,59
Sosef MN,1
Van De Kerkhove MP,1
Abrahamse SL,1
Levi MM,2
Chamuleau RA,3
Van Gulik TM,1
Philipp CS,4
Dilley A,1
Miller CH,40
Evatt B,9
Baranwal A,1
Schwartz R,1
Bachmann G,1
Saidi P,10
Lavend'Homme R,1
Minnema MC,2
Fijnheer R,3
De Groot PG,2
Lokhorst HM,2
Knobe KE,10
Persson KE,6
Sjörin E,14
Villoutreix BO,17
Stenflo J,19
Ljung RC,15
Habart D,1
Kalabova D,1
Novotny M,1
Vorlova Z,1
Chan S,4
Minning DM,1
Newsome P,1
Germain L,2
Thomson E,1
Dawson P,1
Ludlam CA,48
Reitsma PH,36
Branger J,1
Van Den Blink B,1
Weijer S,1
Van Der Poll T,1
Meijers JC,25
McIntosh JH,3
Owens D,7
Lee CA,54
Saenko EL,63
Ananyeva NM,21
Hauser CA,7
Sharathkumar A,6
Kern M,4
Leggo J,4
Brooker L,1
He S,10
Blombäck M,61
Jacobsson Ekman G,1
Butenas S,30
Brummel KE,6
Bouchard BA,3
Mann KG,62
VandenDriessche T,30
Collen D,21
Chuah MK,34
Brummel K,1
Davidson CJ,2
Tranholm M,24
Kristensen K,1
Kristensen AT,10
Pyke C,1
Kreil TR,8
Berting A,4
Kistner O,2
Kindermann J,2
Chandler WL,3
Ferrell C,3
Lee J,6
Tun T,1
Kha H,1
Ozuysal S,1
Bilgin T,1
Ozan H,1
Kara HF,1
Oztürk H,1
Ercan I,1
Nowacki P,1
Tabaka J,1
Desvarieux M,1
Boland LL,2
Ballantyne CM,4
Hrachovinová I,2
Cambien B,2
Hafezi-Moghadam A,1
Kappelmayer J,3
Camphausen RT,1
Widom A,1
Xia L,3
McEver RP,3
Wagner DD,4
Andrikovics H,3
Klein I,2
Bors A,3
Nemes L,24
Marosi A,2
Váradi A,2
Tordai A,3
Gong ZY,1
Zhou SX,1
Gu XM,1
Li DC,2
Sun ML,1
Du JR,1
Jiang Y,6
Zhang YM,2
Fu H,3
Regnault V,7
Lecompte T,6
Keil B,3
Noack F,1
Sotlar K,1
Thorns C,1
Smrcek J,1
Diedrich K,2
Feller AC,2
Horny HP,2
Goudemand J,42
Caron C,12
Dreyfus M,3
Sié P,7
Stahl D,2
Hoebeke J,4
Chao H,13
Bartel RC,1
Hiriyanna S,1
Walsh CE,24
Bruggers CS,1
Bleak S,2
Chuang YJ,1
Bock PE,7
Björk I,9
Wang Z,22
Lin M,4
Freeman AF,1
Crawford SE,4
Finn LS,1
López-Andreu JA,1
Ferrando-Monleón S,1
Pérez-Tamarit D,1
Cornwall ML,1
Shulman ST,1
Rowley AH,1
Yamada T,4
Iwasaki Y,2
Tada H,1
Iwabuki H,1
Fukuda H,1
Kondo A,1
Ueda M,6
Seno M,1
Tanizawa K,1
Kuroda S,1
Forschner A,1
Harms D,2
Metzler G,1
Sönnichsen K,1
Ulmer A,1
Rassner G,1
Fierlbeck G,1
Wiebe EM,1
Stafford AR,4
Fredenburgh JC,3
Gaudino M,1
Toesca A,1
Maggiano N,2
Pragliola C,1
Possati G,1
Odegard KC,3
McGowan FX Jr,2
Zurakowski D,6
Dinardo JA,1
Castro RA,3
del Nido PJ,1
Laussen PC,3
Knight C,7
Paisley S,6
Wight J,5
Jones ML,1
Lloyd Jones M,1
Currie E,1
Björkman S,28
Ingerslev J,66
Poulsen LH,9
Sørensen B,24
Takayama A,1
Nakashima O,1
Kobayashi K,6
Kojiro M,2
Galanaud JP,1
Pelletier-Fleury N,1
Logerot-Lebrun H,1
Suh KS,1
Shin KS,1
Park IA,6
Auerswald G,39
Spranger T,1
Kreuz W,47
Ettingshausen CE,15
Saguer IM,3
Funk M,7
Heller C,6
Klarmann D,3
Klingebiel T,5
Tarkka T,1
Sipola A,2
Jämsä T,1
Ylä-Herttuala S,2
Tuukkanen J,2
Hautala T,2
Wu G,2
Yan S,7
Ivarsson K,1
Sturesson C,1
Stenram U,1
Tranberg KG,1
Matsumoto T,45
Takatsuka H,2
Nishiya K,16
Kasuda S,5
Fujimura Y,13
Favaloro EJ,42
Bonar R,9
Sioufi J,7
Hertzberg M,3
Street A,14
Lloyd J,9
Marsden K,8
Umeda N,2
Ozaki H,2
Hayashi H,4
Miyajima-Uchida H,1
Oshima K,6
